series,epoch,train_loss,val_loss,val_metric
FullGET,1,7.185621781782671,7.210501194000244,7.3917041015625
FullGET,2,6.830485387281938,7.1925422350565595,7.373618024190267
FullGET,3,6.833628004247492,7.20141617457072,7.381837933858236
FullGET,4,6.82044657793912,7.2041581471761065,7.384377562204997
FullGET,5,6.809865691445091,7.203052043914795,7.383353335062663
FullGET,6,6.81803694638339,7.208987712860107,7.388851928710937
FullGET,7,6.813948934728449,7.203171412150065,7.383463910420736
FullGET,8,6.823250076987526,7.217070579528809,7.396338946024577
FullGET,9,6.813954873518511,7.211881160736084,7.391531982421875
FullGET,10,6.823639436201616,7.199005126953125,7.379604536692302
FullGET,11,6.80535853992809,7.213308811187744,7.392854194641114
FullGET,12,6.800105398351496,7.216626485188802,7.395927499135335
FullGET,13,6.809446421536532,7.224677085876465,7.403384755452474
FullGET,14,6.81817609613592,7.230069637298584,7.408380330403646
FullGET,15,6.791378151286732,7.230042775472005,7.408355414072672
FullGET,16,6.786608695983887,7.224876880645752,7.403569736480713
FullGET,17,6.80864784934304,7.226951440175374,7.405491574605306
FullGET,18,6.792141090739857,7.22634490331014,7.40492966334025
FullGET,19,6.80566913431341,7.23399003346761,7.412011712392172
FullGET,20,6.802042484283447,7.2350819905598955,7.41302313486735
FullGET,21,6.803893219340932,7.239993890126546,7.417573045094808
FullGET,22,6.812353654341265,7.235688845316569,7.4135851987202965
FullGET,23,6.830245668237859,7.235299587249756,7.413224798838297
FullGET,24,6.795244997197932,7.227902094523112,7.406372057596842
FullGET,25,6.817338900132612,7.224984486897786,7.403669567108154
FullGET,26,6.804957389831543,7.222097078959147,7.400994879404704
FullGET,27,6.784548499367454,7.218590100606282,7.39774642944336
FullGET,28,6.793114965612238,7.2173722585042315,7.396618264516195
FullGET,29,6.808188525113192,7.212519645690918,7.392123381296794
FullGET,30,6.787130745974454,7.214170932769775,7.393652623494466
ETFaithful,1,7.9671456597068095,8.113204797108969,8.238552789886793
ETFaithful,2,7.874255006963557,8.03253730138143,8.164916673103969
ETFaithful,3,7.8297294269908555,8.006471951802572,8.142276419003805
ETFaithful,4,7.812576727433638,7.993866761525472,8.13259352048238
ETFaithful,5,7.787128101695668,7.963550249735515,8.103004480600356
ETFaithful,6,7.773660789836537,7.941322485605876,8.084272102912267
