series,epoch,train_loss,val_loss,val_metric
FullGET,1,7.185621695085005,7.21050230662028,7.39170503616333
FullGET,2,6.83048525723544,7.192542394002278,7.373617693583171
FullGET,3,6.833627960898659,7.20141585667928,7.38183780670166
FullGET,4,6.82044657793912,7.204158306121826,7.384378217061361
FullGET,5,6.809865691445091,7.203052361806233,7.3833535893758135
FullGET,6,6.818036903034557,7.208988666534424,7.388852303822835
FullGET,7,6.813948848030784,7.203171571095784,7.383464005788167
FullGET,8,6.823250033638694,7.217070579528809,7.396338818868001
FullGET,9,6.813954960216176,7.211881160736084,7.391532071431478
FullGET,10,6.823639392852783,7.199004968007405,7.379604307810466
FullGET,11,6.80535853992809,7.213308811187744,7.392854296366374
FullGET,12,6.800105441700328,7.216627279917399,7.395928293863932
FullGET,13,6.809446248141202,7.224677085876465,7.403385213216146
FullGET,14,6.81817609613592,7.230069478352864,7.4083800061543785
FullGET,15,6.7913783246820625,7.230042775472005,7.408355344136556
FullGET,16,6.78660873933272,7.224876880645752,7.40356990814209
FullGET,17,6.808647545901212,7.2269511222839355,7.405491237640381
FullGET,18,6.792140830646861,7.22634490331014,7.404929955800374
FullGET,19,6.805669221011075,7.233989556630452,7.412011280059814
FullGET,20,6.802042657678777,7.235081672668457,7.413023064931234
FullGET,21,6.803893436085094,7.239994208017985,7.417573095957438
FullGET,22,6.812353567643599,7.235688209533691,7.413584995269775
FullGET,23,6.830245624889027,7.235300064086914,7.413224957784017
FullGET,24,6.795244953849099,7.227901776631673,7.40637186686198
FullGET,25,6.817338640039617,7.224984010060628,7.403669420878092
FullGET,26,6.80495734648271,7.222096602121989,7.400994332631429
FullGET,27,6.784548456018621,7.2185899416605634,7.397746779123942
FullGET,28,6.793115052309903,7.217371463775635,7.396617743174235
FullGET,29,6.808188611810857,7.212519486745198,7.39212334950765
FullGET,30,6.787130962718617,7.2141702969868975,7.393652153015137
ETFaithful,1,7.967145703055642,8.113204797108969,8.238552785317102
ETFaithful,2,7.874256177382036,8.032405853271484,8.164793109496435
ETFaithful,3,7.830156196247447,8.00692367553711,8.142184037764867
ETFaithful,4,7.811670953577215,7.987534205118815,8.124965261618296
ETFaithful,5,7.782847187735817,7.9636281331380205,8.105168133179347
ETFaithful,6,7.775552099401301,7.954010168711345,8.098537891308467
ETFaithful,7,7.739088318564675,7.918588797251384,8.064913244247437
ETFaithful,8,7.718104405836626,7.896989345550537,8.043992678324381
ETFaithful,9,7.699584354053844,7.873456001281738,8.022844185034433
ETFaithful,10,7.663524237546054,7.854618549346924,8.007764104207357
ETFaithful,11,7.651112643155185,7.82551368077596,7.980043019453684
ETFaithful,12,7.635090394453569,7.797980626424153,7.954724393685659
ETFaithful,13,7.608042023398659,7.788582642873128,7.949174331029256
ETFaithful,14,7.589346755634654,7.756231466929118,7.91733871459961
ETFaithful,15,7.56381403316151,7.736347834269206,7.90014076312383
ETFaithful,16,7.555526213212446,7.720677375793457,7.882819326718648
ETFaithful,17,7.540947003798052,7.716653505961101,7.878995304107666
ETFaithful,18,7.546126148917458,7.683614571889241,7.850497315724691
ETFaithful,19,7.508885210210627,7.691708405812581,7.856373017628988
ETFaithful,20,7.506025010889227,7.669426282246907,7.836058019002278
ETFaithful,21,7.487339301542803,7.6404415766398115,7.810446219444275
ETFaithful,22,7.448753747073087,7.61366589864095,7.788960916996002
ETFaithful,23,7.432575746016069,7.607068697611491,7.780798352559407
ETFaithful,24,7.4322709170254795,7.593443711598714,7.77119160493215
ETFaithful,25,7.383813337846235,7.580739180246989,7.7563010644912715
ETFaithful,26,7.38830228285356,7.575713157653809,7.751296223799388
ETFaithful,27,7.397084756331011,7.561221440633138,7.737915584246317
ETFaithful,28,7.381710052490234,7.561197916666667,7.739529655774434
ETFaithful,29,7.361117362976074,7.5452446937561035,7.7232563034693404
ETFaithful,30,7.35075079311024,7.532637437184651,7.711216125488281
PairwiseGET,1,6.955538229508833,7.217630545298259,7.398873901367187
PairwiseGET,2,6.823086218400435,7.209447701772054,7.389277992248535
PairwiseGET,3,6.800289500843395,7.225100994110107,7.403777898152669
PairwiseGET,4,6.863333181901411,7.193221886952718,7.374325523376465
PairwiseGET,5,6.798308329148726,7.207138697306315,7.387139104207357
PairwiseGET,6,6.78117730400779,7.243092854817708,7.420443700154622
PairwiseGET,7,6.820887782356956,7.260474681854248,7.436544799804688
PairwiseGET,8,6.810145681554621,7.224234580993652,7.402975025177002
PairwiseGET,9,6.837459434162486,7.198114395141602,7.379245951970418
PairwiseGET,10,6.796950643712824,7.2257974942525225,7.404422912597656
PairwiseGET,11,6.803644397042015,7.246139685312907,7.423265946706136
PairwiseGET,12,6.804347515106201,7.2060262362162275,7.386108512878418
PairwiseGET,13,6.807626464150169,7.193605740865071,7.374711891810099
PairwiseGET,14,6.824109120802446,7.237647533416748,7.415399850209554
PairwiseGET,15,6.791625933213667,7.220879554748535,7.399867172241211
PairwiseGET,16,6.803961710496382,7.2142653465271,7.393740717569987
PairwiseGET,17,6.811739271337336,7.222728888193767,7.401580581665039
PairwiseGET,18,6.818793513558128,7.217672983805339,7.39689697265625
PairwiseGET,19,6.794924562627619,7.2274478276570635,7.4059516716003415
PairwiseGET,20,6.808563882654363,7.241636276245117,7.419094753265381
